seogii@seogii-Samsung-DeskTop-System:~/source_git/CSAPI_SAMPLE/Tizen-CSharp-Samples/Mobile/Accounts$ ./check_style.sh SampleAccount
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:39: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:40: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:41: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:42: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:43: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:55: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:60: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:61: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:62: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:67: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:68: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:80: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:81: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:82: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:83: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:93: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:94: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:95: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/Port/AccountManagerPort.cs:98: WARNING: [LNE_R_TWS]trailing whitespace
total: 0 errors, 40 warnings, 107 lines checked
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:6: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:7: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:8: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:11: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:12: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:13: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:20: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:21: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:22: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:23: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:28: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount.Tizen.Mobile/SampleAccount.Tizen.Mobile.cs:31: WARNING: [LNE_R_TWS]trailing whitespace
total: 0 errors, 12 warnings, 36 lines checked
SampleAccount/SampleAccount/Models/AccountItems.cs:1: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:2: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:3: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:4: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:5: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:6: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:7: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:8: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:9: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:10: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:11: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:12: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:13: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:14: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:19: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:20: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:21: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:24: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:25: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:26: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:29: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:30: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:31: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:34: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:35: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/AccountItems.cs:36: WARNING: [LNE_R_TWS]trailing whitespace
total: 0 errors, 26 warnings, 39 lines checked
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:1: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:2: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Models/IAccountManagerAPIs.cs:3: WARNING: [LNE_R_TWS]trailing whitespace
